Name;Estimate;SE;tStat;DF;pValue;Lower;Upper
(Intercept);2.3822;0.089678;26.5635;472;9.2965e-96;2.2059;2.5584
Order_1;0.34698;0.026961;12.87;472;1.0611e-32;0.29401;0.39996
Blocks_1;0.025848;0.026961;0.95875;472;0.33818;-0.027129;0.078826
Edge_0;-0.27718;0.026961;-10.2809;472;1.6552e-22;-0.33016;-0.2242
Band;0.024306;0.02696;0.90156;476;0.36775;-0.02867;0.077282
MSI_Perception;0.027808;0.0089397;3.1107;474;0.0019792;0.010242;0.045375
MSI_Training;-0.0043968;0.012276;-0.35816;474;0.72038;-0.028519;0.019726
Order_1:Blocks_1;-0.0041136;0.026961;-0.15258;472;0.87879;-0.057091;0.048864
Order_1:Edge_0;0.07211;0.026961;2.6747;472;0.0077403;0.019133;0.12509
Blocks_1:Edge_0;0.0090259;0.026961;0.33478;472;0.73794;-0.043952;0.062004
Order_1:Blocks_1:Edge_0;0.0069919;0.026961;0.25934;472;0.79549;-0.045986;0.05997
Order_1:Band;-0.016634;0.02696;-0.617;476;0.53753;-0.06961;0.036341
Order_1:MSI_Perception;-0.0067554;0.003737;-1.8077;474;0.071287;-0.014099;0.00058777
Order_1:MSI_Training;-0.0020542;0.0051318;-0.40029;474;0.68912;-0.012138;0.0080297
