Name;Estimate;SE;tStat;DF;pValue;Lower;Upper
(Intercept);2.3415;0.097522;24.01;472;7.7941e-84;2.1499;2.5331
Order_1;0.36782;0.031102;11.8264;472;1.9138e-28;0.30671;0.42894
Blocks_1;0.025848;0.025915;0.99744;472;0.31906;-0.025074;0.076771
Edge_0;-0.27718;0.025915;-10.6958;472;4.7054e-24;-0.3281;-0.22626
Band;0.024306;0.026286;0.92468;476;0.3556;-0.027345;0.075957
MSI_Perception;0.03027;0.0094703;3.1963;474;0.0014848;0.011661;0.048879
MSI_Training;-0.0061832;0.013;-0.47562;474;0.63456;-0.031728;0.019362
Order_1:Blocks_1;-0.0041136;0.025915;-0.15874;472;0.87394;-0.055036;0.046809
Order_1:Edge_0;0.07211;0.025915;2.7826;472;0.0056087;0.021188;0.12303
Blocks_1:Edge_0;0.0090259;0.025915;0.34829;472;0.72778;-0.041897;0.059949
Order_1:Blocks_1:Edge_0;0.0069919;0.025915;0.2698;472;0.78743;-0.043931;0.057914
Order_1:Band;-0.016634;0.026286;-0.63283;476;0.52715;-0.068285;0.035016
Order_1:MSI_Perception;-0.0075354;0.0040256;-1.8719;474;0.061836;-0.015446;0.00037471
Order_1:MSI_Training;-0.0031779;0.0056188;-0.56559;474;0.57194;-0.014219;0.0078628
