Name;Estimate;SE;tStat;DF;pValue;Lower;Upper
(Intercept);2.2335;0.1504;14.8504;296;1.1518e-37;1.9375;2.5295
Order_1;0.51428;0.038153;13.4794;296;1.29e-32;0.4392;0.58937
Edge_false;-0.30322;0.038153;-7.9473;296;4.0301e-14;-0.3783;-0.22813
Band;-0.036015;0.023519;-1.5313;296;0.12676;-0.0823;0.010271
MSI_P;0.0019268;0.016798;0.11471;294;0.90876;-0.031133;0.034987
MSI_T;0.0032309;0.018011;0.17939;294;0.85776;-0.032215;0.038677
Order_1:Edge_false;0.1055;0.038153;2.7653;296;0.0060446;0.030419;0.18059
Order_1:Band;-0.0016007;0.023519;-0.068061;296;0.94578;-0.047886;0.044685
Order_1:Band;-0.019278;0.022932;-0.84064;292;0.40124;-0.06441;0.025855
Band:Edge_false;-0.039266;0.022932;-1.7123;292;0.087909;-0.084398;0.0058672
Order_1:Band:Edge_false;-0.041246;0.022932;-1.7986;292;0.07311;-0.086379;0.0038868
Order_1:MSI_P;-0.0019443;0.0045254;-0.42965;294;0.66777;-0.010851;0.0069619
Order_1:MSI_T;-0.0012497;0.004852;-0.25757;294;0.79692;-0.010799;0.0082992
