Name;Estimate;SE;tStat;DF;pValue;Lower;Upper
(Intercept);2.1358;0.13828;15.4456;296;7.0175e-40;1.8637;2.408
Order_1;0.46195;0.043954;10.51;296;3.6427e-22;0.37545;0.54846
Edge_false;-0.30322;0.037262;-8.1374;296;1.1285e-14;-0.37655;-0.22988
Band;-0.036015;0.023227;-1.5506;296;0.12207;-0.081725;0.0096956
MSI_P;0.0029282;0.01562;0.18746;294;0.85143;-0.027814;0.03367
MSI_T;0.001689;0.016556;0.10201;294;0.91881;-0.030895;0.034273
Order_1:Edge_false;0.1055;0.037262;2.8314;296;0.0049521;0.032172;0.17884
Order_1:Band;-0.0016007;0.023227;-0.068917;296;0.9451;-0.047311;0.04411
Order_1:Band;-0.019278;0.022345;-0.86273;292;0.389;-0.063255;0.0247
Band:Edge_false;-0.039266;0.022345;-1.7572;292;0.079924;-0.083243;0.004712
Order_1:Band:Edge_false;-0.041246;0.022345;-1.8459;292;0.065922;-0.085224;0.0027316
Order_1:MSI_P;-0.0038957;0.0058081;-0.67073;294;0.50292;-0.015326;0.0075351
Order_1:MSI_T;0.0018403;0.0063036;0.29194;294;0.77054;-0.010566;0.014246
