Order;Blocks;Band;Edge;Mid;Subject;Musicians;MSI_Perception;MSI_Training;dPrime;Hitrate;FA;Hit_Edge;Hit_NonEdge;Slope
1;1;1;1;0;1;false;31;55;3.28971;0.9;0.1;1;NaN;0.57175
1;1;1;1;0;2;false;13;52;0.84162;0.5;0.2;0.5;NaN;0.29163
1;1;1;1;0;3;false;7;51;3.28971;0.9;0.1;1;NaN;0.93114
1;1;1;1;0;4;false;25;41;2.16925;0.7;0.1;0.7;NaN;-0.37094
1;1;1;1;0;5;false;30;58;3.28971;0.9;0.1;1;NaN;0.52953
1;1;1;1;0;6;false;10;39;3.28971;0.9;0.1;1;NaN;0.8288
1;1;1;1;0;7;false;32;57;3.28971;0.9;0.1;1;NaN;0.09083
1;1;1;1;0;8;false;34;47;2.92641;0.9;0.1;0.9;NaN;0.20081
1;1;1;1;0;9;false;32;54;2.92641;0.9;0.1;0.9;NaN;-0
1;1;1;1;0;10;false;16;48;1.64485;0.5;0.1;0.5;NaN;0.4905
1;1;1;1;0;11;false;37;59;3.28971;0.9;0.1;1;NaN;0.9081
1;1;1;1;0;12;false;37;62;3.28971;0.9;0.1;1;NaN;0.37094
1;1;1;1;0;13;false;42;61;3.28971;0.9;0.1;1;NaN;0
1;1;1;1;0;14;false;44;55;3.28971;0.9;0.1;1;NaN;0.66257
1;1;1;1;0;15;false;31;61;3.28971;0.9;0.1;1;NaN;0.88254
1;1;1;1;0;16;false;13;46;3.28971;0.9;0.1;1;NaN;0.67536
1;1;1;1;0;17;false;22;45;1.68324;0.8;0.2;0.8;NaN;0.20402
1;1;1;1;0;18;false;13;39;3.28971;0.9;0.1;1;NaN;1.07379
1;1;1;1;0;19;false;27;47;3.28971;0.9;0.1;1;NaN;0
1;1;1;1;0;20;false;8;54;3.28971;0.9;0.1;1;NaN;0.07167
1;1;1;1;0;21;false;11;40;1.8982;0.6;0.1;0.6;NaN;0.13304
1;1;1;1;0;22;false;8;34;2.12317;0.9;0.2;1;NaN;0.25705
1;1;1;1;0;23;false;9;35;2.48647;0.9;0.1;1;NaN;0.68173
1;1;1;1;0;24;false;32;53;3.28971;0.9;0.1;1;NaN;0.55259
1;1;1;1;0;25;false;24;47;3.28971;0.9;0.1;0.9;NaN;0.71882
1;1;1;1;0;26;false;11;45;2.92641;0.9;0.1;1;NaN;0.22387
1;1;1;1;0;27;false;12;43;2.92641;0.9;0.1;1;NaN;0.39648
1;1;1;1;0;28;false;27;41;2.92641;0.7;0.1;0.7;NaN;0.27248
1;1;1;1;0;29;false;7;33;2.16925;0.9;0.1;1;NaN;0.284
1;1;1;1;0;30;false;8;37;3.28971;0.9;0.1;1;NaN;0.37094
1;1;2;0;0;1;false;31;55;1.80595;0.9;0.1;0.9;NaN;0.57175
1;1;2;0;0;2;false;13;52;1.09497;0.9;0.4;1;NaN;0.29163
1;1;2;0;0;3;false;7;51;2.48647;0.9;0.1;1;NaN;0.93114
1;1;2;0;0;4;false;25;41;3.28971;0.9;0.1;0.9;NaN;-0.37094
1;1;2;0;0;5;false;30;58;3.28971;0.9;0.1;1;NaN;0.52953
1;1;2;0;0;6;false;10;39;2.48647;0.9;0.1;1;NaN;0.8288
1;1;2;0;0;7;false;32;57;2.92641;0.9;0.1;1;NaN;0.09083
1;1;2;0;0;8;false;34;47;3.28971;0.9;0.1;1;NaN;0.20081
1;1;2;0;0;9;false;32;54;3.28971;0.9;0.1;1;NaN;-0
1;1;2;0;0;10;false;16;48;2.48647;0.7;0.1;0.7;NaN;0.4905
1;1;2;0;0;11;false;37;59;1.80595;0.9;0.2;1;NaN;0.9081
1;1;2;0;0;12;false;37;62;3.28971;0.9;0.1;1;NaN;0.37094
1;1;2;0;0;13;false;42;61;3.28971;0.9;0.1;1;NaN;0
1;1;2;0;0;14;false;44;55;2.92641;0.9;0.1;1;NaN;0.66257
1;1;2;0;0;15;false;31;61;2.48647;0.9;0.1;1;NaN;0.88254
1;1;2;0;0;16;false;13;46;3.28971;0.9;0.1;1;NaN;0.67536
1;1;2;0;0;17;false;22;45;1.39151;0.9;0.4;0.9;NaN;0.20402
1;1;2;0;0;18;false;13;39;2.92641;0.9;0.1;1;NaN;1.07379
1;1;2;0;0;19;false;27;47;3.28971;0.9;0.1;1;NaN;0
1;1;2;0;0;20;false;8;54;2.92641;0.9;0.1;1;NaN;0.07167
1;1;2;0;0;21;false;11;40;2.92641;0.9;0.1;1;NaN;0.13304
1;1;2;0;0;22;false;8;34;1.8982;0.9;0.1;1;NaN;0.25705
1;1;2;0;0;23;false;9;35;2.48647;0.9;0.1;1;NaN;0.68173
1;1;2;0;0;24;false;32;53;2.16925;0.9;0.1;1;NaN;0.55259
1;1;2;0;0;25;false;24;47;3.28971;0.9;0.2;1;NaN;0.71882
1;1;2;0;0;26;false;11;45;2.92641;0.8;0.2;0.8;NaN;0.22387
1;1;2;0;0;27;false;12;43;2.48647;0.9;0.1;1;NaN;0.39648
1;1;2;0;0;28;false;27;41;2.92641;0.9;0.1;1;NaN;0.27248
1;1;2;0;0;29;false;7;33;2.5631;0.9;0.3;1;NaN;0.284
1;1;2;0;0;30;false;8;37;2.48647;0.9;0.1;1;NaN;0.37094
1;1;3;0;0;1;false;31;55;2.12317;0.95;0.1;0.95;NaN;0.57175
1;1;3;0;0;2;false;13;52;0.84162;0.65;0.6;0.65;NaN;0.29163
1;1;3;0;0;3;false;7;51;2.12317;0.95;0.1;0.95;NaN;0.93114
1;1;3;0;0;4;false;25;41;2.92641;0.55;0.1;0.55;NaN;-0.37094
1;1;3;0;0;5;false;30;58;2.92641;0.95;0.75;1;NaN;0.52953
1;1;3;0;0;6;false;10;39;2.92641;0.6;0.1;0.6;NaN;0.8288
1;1;3;0;0;7;false;32;57;3.28971;0.95;0.05;0.95;NaN;0.09083
1;1;3;0;0;8;false;34;47;2.92641;0.9;0.05;0.9;NaN;0.20081
1;1;3;0;0;9;false;32;54;3.28971;0.95;0.05;1;NaN;-0
1;1;3;0;0;10;false;16;48;1.12045;0.7;0.3;0.7;NaN;0.4905
1;1;3;0;0;11;false;37;59;2.48647;0.65;0.15;0.65;NaN;0.9081
1;1;3;0;0;12;false;37;62;2.92641;0.55;0.05;0.55;NaN;0.37094
1;1;3;0;0;13;false;42;61;3.28971;0.65;0.05;0.65;NaN;0
1;1;3;0;0;14;false;44;55;3.28971;0.8;0.05;0.8;NaN;0.66257
1;1;3;0;0;15;false;31;61;2.12317;0.95;0.05;1;NaN;0.88254
1;1;3;0;0;16;false;13;46;2.92641;0.75;0.05;0.75;NaN;0.67536
1;1;3;0;0;17;false;22;45;1.68324;0.75;0.7;0.75;NaN;0.20402
1;1;3;0;0;18;false;13;39;1.64485;0.75;0.05;0.75;NaN;1.07379
1;1;3;0;0;19;false;27;47;3.28971;0.95;0.15;0.95;NaN;0
1;1;3;0;0;20;false;8;54;2.92641;0.5;0.05;0.5;NaN;0.07167
1;1;3;0;0;21;false;11;40;2.48647;0.65;0.05;0.65;NaN;0.13304
1;1;3;0;0;22;false;8;34;2.92641;0.35;0.1;0.35;NaN;0.25705
1;1;3;0;0;23;false;9;35;2.48647;0.75;0.05;0.75;NaN;0.68173
1;1;3;0;0;24;false;32;53;2.92641;0.95;0.05;0.95;NaN;0.55259
1;1;3;0;0;25;false;24;47;2.16925;0.6;0.1;0.6;NaN;0.71882
1;1;3;0;0;26;false;11;45;2.12317;0.6;0.3;0.6;NaN;0.22387
1;1;3;0;0;27;false;12;43;0.50669;0.95;0.05;0.95;NaN;0.39648
1;1;3;0;0;28;false;27;41;2.92641;0.5;0.4;0.5;NaN;0.27248
1;1;3;0;0;29;false;7;33;1.68324;0.85;0.05;0.85;NaN;0.284
1;1;3;0;0;30;false;8;37;2.16925;0.6;0.1;0.6;NaN;0.37094
1;1;4;1;1;1;true;31;55;2.92641;0.85;0.1;0.85;NaN;0.57175
1;1;4;1;1;2;true;13;52;1.8982;0.9;0.4;0.9;NaN;0.29163
1;1;4;1;1;3;true;7;51;3.28971;0.85;0.2;0.85;NaN;0.93114
1;1;4;1;1;4;true;25;41;3.28971;0.85;0.05;0.85;NaN;-0.37094
1;1;4;1;1;5;true;30;58;3.28971;0.95;0.2;1;NaN;0.52953
1;1;4;1;1;6;true;10;39;3.28971;0.95;0.05;1;NaN;0.8288
1;1;4;1;1;7;true;32;57;3.28971;0.9;0.05;0.9;NaN;0.09083
1;1;4;1;1;8;true;34;47;3.28971;0.9;0.05;0.9;NaN;0.20081
1;1;4;1;1;9;true;32;54;3.28971;0.95;0.05;1;NaN;-0
1;1;4;1;1;10;true;16;48;3.28971;0.35;0.05;0.35;NaN;0.4905
1;1;4;1;1;11;true;37;59;2.92641;0.95;0.4;1;NaN;0.9081
1;1;4;1;1;12;true;37;62;3.28971;0.75;0.05;0.75;NaN;0.37094
1;1;4;1;1;13;true;42;61;3.28971;0.75;0.05;0.75;NaN;0
1;1;4;1;1;14;true;44;55;3.28971;0.95;0.05;0.95;NaN;0.66257
1;1;4;1;1;15;true;31;61;2.92641;0.95;0.05;1;NaN;0.88254
1;1;4;1;1;16;true;13;46;3.28971;0.8;0.05;0.8;NaN;0.67536
1;1;4;1;1;17;true;22;45;1.5349;0.95;0.55;1;NaN;0.20402
