Order;Band;Edge;Subject;dP;MSI_P;MSI_T;Musician;EdgeEffect
1;1;true;1;0.27105;61;37;true;-0.08959
1;1;true;2;2.92641;63;44;true;0.37094
1;1;true;3;2.92641;47;17;false;-0.18165
1;1;true;4;3.28971;61;26;true;0.29163
1;1;true;5;2.92641;62;39;true;1.2432
1;1;true;6;3.28971;45;36;true;0.28011
1;1;true;7;3.28971;45;36;true;0.09083
1;1;true;8;2.92641;27;13;false;-0.09083
1;1;true;9;3.28971;55;31;true;0.58327
1;1;true;10;3.28971;48;13;false;0.18165
1;1;true;11;3.28971;55;36;true;0
1;1;true;12;3.28971;53;38;true;0.85186
1;1;true;13;3.28971;54;36;true;1.39467
1;1;true;14;2.92641;49;23;false;0.42978
1;1;true;15;2.5631;59;38;true;0.20061
1;1;true;16;1.64485;28;13;false;0.79724
1;1;true;17;3.28971;55;33;true;0
1;1;true;18;3.28971;59;45;true;0.2877
1;1;true;19;3.28971;47;27;true;0.60972
1;1;true;20;1.36602;49;37;true;1.50623
1;1;true;21;3.28971;27;42;true;-0.06042
1;1;true;22;3.28971;53;33;true;0.16936
1;1;true;23;3.28971;45;40;true;0
1;1;true;24;3.28971;61;38;true;0.10605
1;1;true;25;3.28971;51;25;true;0.91325
1;2;false;1;1.28155;61;37;true;-0.08959
1;2;false;2;2.5631;63;44;true;0.37094
1;2;false;3;3.28971;47;17;false;-0.18165
1;2;false;4;3.28971;61;26;true;0.29163
1;2;false;5;1.68324;62;39;true;1.2432
1;2;false;6;3.28971;45;36;true;0.28011
1;2;false;7;2.92641;45;36;true;0.09083
1;2;false;8;3.28971;27;13;false;-0.09083
1;2;false;9;2.92641;55;31;true;0.58327
1;2;false;10;2.92641;48;13;false;0.18165
1;2;false;11;3.28971;55;36;true;0
1;2;false;12;1.80595;53;38;true;0.85186
1;2;false;13;1.8982;54;36;true;1.39467
1;2;false;14;2.34912;49;23;false;0.42978
1;2;false;15;1.74504;59;38;true;0.20061
1;2;false;16;1.64485;28;13;false;0.79724
1;2;false;17;3.28971;55;33;true;0
1;2;false;18;2.92641;59;45;true;0.2877
1;2;false;19;3.28971;47;27;true;0.60972
1;2;false;20;1.32092;49;37;true;1.50623
1;2;false;21;2.71242;27;42;true;-0.06042
1;2;false;22;3.28971;53;33;true;0.16936
1;2;false;23;3.28971;45;40;true;0
1;2;false;24;3.28971;61;38;true;0.10605
1;2;false;25;3.28971;51;25;true;0.91325
1;3;false;1;1.09497;61;37;true;-0.08959
1;3;false;2;2.5631;63;44;true;0.37094
1;3;false;3;3.28971;47;17;false;-0.18165
1;3;false;4;2.92641;61;26;true;0.29163
1;3;false;5;2.92641;62;39;true;1.2432
1;3;false;6;3.28971;45;36;true;0.28011
1;3;false;7;3.28971;45;36;true;0.09083
1;3;false;8;3.28971;27;13;false;-0.09083
1;3;false;9;2.48647;55;31;true;0.58327
1;3;false;10;3.28971;48;13;false;0.18165
1;3;false;11;3.28971;55;36;true;0
1;3;false;12;2.48647;53;38;true;0.85186
1;3;false;13;1.28155;54;36;true;1.39467
1;3;false;14;2.5631;49;23;false;0.42978
1;3;false;15;2.92641;59;38;true;0.20061
1;3;false;16;0.27105;28;13;false;0.79724
1;3;false;17;3.28971;55;33;true;0
1;3;false;18;2.92641;59;45;true;0.2877
1;3;false;19;2.92641;47;27;true;0.60972
1;3;false;20;0.43993;49;37;true;1.50623
1;3;false;21;3.28971;27;42;true;-0.06042
1;3;false;22;3.28971;53;33;true;0.16936
1;3;false;23;3.28971;45;40;true;0
1;3;false;24;3.28971;61;38;true;0.10605
1;3;false;25;2.92641;51;25;true;0.91325
1;4;false;1;0.84162;61;37;true;-0.08959
1;4;false;2;2.16925;63;44;true;0.37094
1;4;false;3;3.28971;47;17;false;-0.18165
1;4;false;4;3.28971;61;26;true;0.29163
1;4;false;5;1.5349;62;39;true;1.2432
1;4;false;6;3.28971;45;36;true;0.28011
1;4;false;7;3.28971;45;36;true;0.09083
1;4;false;8;3.28971;27;13;false;-0.09083
1;4;false;9;2.92641;55;31;true;0.58327
1;4;false;10;3.28971;48;13;false;0.18165
1;4;false;11;3.28971;55;36;true;0
1;4;false;12;2.92641;53;38;true;0.85186
1;4;false;13;2.92641;54;36;true;1.39467
1;4;false;14;2.92641;49;23;false;0.42978
1;4;false;15;1.36602;59;38;true;0.20061
1;4;false;16;0.31722;28;13;false;0.79724
1;4;false;17;3.28971;55;33;true;0
1;4;false;18;3.28971;59;45;true;0.2877
1;4;false;19;3.28971;47;27;true;0.60972
1;4;false;20;0.84162;49;37;true;1.50623
1;4;false;21;2.92641;27;42;true;-0.06042
1;4;false;22;3.28971;53;33;true;0.16936
1;4;false;23;3.28971;45;40;true;0
1;4;false;24;3.28971;61;38;true;0.10605
1;4;false;25;2.5631;51;25;true;0.91325
1;5;false;1;1.0488;61;37;true;-0.08959
1;5;false;2;2.92641;63;44;true;0.37094
1;5;false;3;3.28971;47;17;false;-0.18165
1;5;false;4;2.48647;61;26;true;0.29163
1;5;false;5;0.58827;62;39;true;1.2432
1;5;false;6;2.16925;45;36;true;0.28011
1;5;false;7;3.28971;45;36;true;0.09083
1;5;false;8;2.92641;27;13;false;-0.09083
1;5;false;9;2.48647;55;31;true;0.58327
1;5;false;10;2.92641;48;13;false;0.18165
1;5;false;11;3.28971;55;36;true;0
1;5;false;12;1.80595;53;38;true;0.85186
1;5;false;13;1.47399;54;36;true;1.39467
1;5;false;14;1.42126;49;23;false;0.42978
1;5;false;15;1.8982;59;38;true;0.20061
1;5;false;16;0.43073;28;13;false;0.79724
1;5;false;17;3.28971;55;33;true;0
1;5;false;18;2.86549;59;45;true;0.2877
1;5;false;19;1.21413;47;27;true;0.60972
1;5;false;20;0.68407;49;37;true;1.50623
1;5;false;21;2.86549;27;42;true;-0.06042
1;5;false;22;2.61228;53;33;true;0.16936
1;5;false;23;3.28971;45;40;true;0
1;5;false;24;2.86549;61;38;true;0.10605
1;5;false;25;0;51;25;true;0.91325
1;6;true;1;1.68324;61;37;true;-0.08959
1;6;true;2;2.92641;63;44;true;0.37094
1;6;true;3;3.28971;47;17;false;-0.18165
1;6;true;4;3.28971;61;26;true;0.29163
1;6;true;5;2.92641;62;39;true;1.2432
1;6;true;6;3.28971;45;36;true;0.28011
1;6;true;7;3.28971;45;36;true;0.09083
1;6;true;8;3.28971;27;13;false;-0.09083
1;6;true;9;3.28971;55;31;true;0.58327
1;6;true;10;3.28971;48;13;false;0.18165
1;6;true;11;3.28971;55;36;true;0
1;6;true;12;2.92641;53;38;true;0.85186
1;6;true;13;3.28971;54;36;true;1.39467
1;6;true;14;2.5631;49;23;false;0.42978
1;6;true;15;1.80595;59;38;true;0.20061
1;6;true;16;1.28155;28;13;false;0.79724
1;6;true;17;3.28971;55;33;true;0
1;6;true;18;3.28971;59;45;true;0.2877
1;6;true;19;3.28971;47;27;true;0.60972
1;6;true;20;3.28971;49;37;true;1.50623
1;6;true;21;2.48647;27;42;true;-0.06042
1;6;true;22;3.28971;53;33;true;0.16936
1;6;true;23;3.28971;45;40;true;0
1;6;true;24;3.28971;61;38;true;0.10605
1;6;true;25;2.92641;51;25;true;0.91325
2;1;true;1;0.38532;61;37;true;0.11711
2;1;true;2;0.63867;63;44;true;0.74998
2;1;true;3;3.91993;47;17;false;1.36746
2;1;true;4;1.80595;61;26;true;1.74228
2;1;true;5;0.60842;62;39;true;0.30083
2;1;true;6;3.24152;45;36;true;0.74937
2;1;true;7;2.68129;45;36;true;0.77419
2;1;true;8;1.28547;27;13;false;0.24776
2;1;true;9;3.28971;55;31;true;0.33376
2;1;true;10;2.63445;48;13;false;1.42182
2;1;true;11;3.60482;55;36;true;0
2;1;true;12;2.31798;53;38;true;0.96456
2;1;true;13;1.36602;54;36;true;0.14665
