Order;Band;Edge;Subject;dP;MSI_P;MSI_T;Musician
1;1;true;1;0.271053409572241;61;37;true
1;1;true;2;2.92640519249607;63;44;true
1;1;true;3;2.92640519249607;47;17;false
1;1;true;4;3.28970725390295;61;26;true
1;1;true;5;2.92640519249607;62;39;true
1;1;true;6;3.28970725390295;45;36;true
1;1;true;7;3.28970725390295;45;36;true
1;1;true;8;2.92640519249607;27;13;false
1;1;true;9;3.28970725390295;55;31;true
1;1;true;10;3.28970725390295;48;13;false
1;1;true;11;3.28970725390295;55;36;true
1;1;true;12;3.28970725390295;53;38;true
1;1;true;13;3.28970725390295;54;36;true
1;1;true;14;2.92640519249607;49;23;false
1;1;true;15;2.5631031310892;59;38;true
1;1;true;16;1.64485362695147;28;13;false
1;1;true;17;3.28970725390295;55;33;true
1;1;true;18;3.28970725390295;59;45;true
1;1;true;19;3.28970725390295;47;27;true
1;1;true;20;1.36602174628095;49;37;true
1;1;true;21;3.28970725390295;27;42;true
1;1;true;22;3.28970725390295;53;33;true
1;1;true;23;3.28970725390295;45;40;true
1;1;true;24;3.28970725390295;61;38;true
1;1;true;25;3.28970725390295;51;25;true
1;2;false;1;1.2815515655446;61;37;true
1;2;false;2;2.5631031310892;63;44;true
1;2;false;3;3.28970725390295;47;17;false
1;2;false;4;3.28970725390295;61;26;true
1;2;false;5;1.68324246714583;62;39;true
1;2;false;6;3.28970725390295;45;36;true
1;2;false;7;2.92640519249607;45;36;true
1;2;false;8;3.28970725390295;27;13;false
1;2;false;9;2.92640519249607;55;31;true
1;2;false;10;2.92640519249607;48;13;false
1;2;false;11;3.28970725390295;55;36;true
1;2;false;12;1.80595207825264;53;38;true
1;2;false;13;1.89820073008727;54;36;true
1;2;false;14;2.34912208942274;49;23;false
1;2;false;15;1.74504086155539;59;38;true
1;2;false;16;1.64485362695147;28;13;false
1;2;false;17;3.28970725390295;55;33;true
1;2;false;18;2.92640519249607;59;45;true
1;2;false;19;3.28970725390295;47;27;true
1;2;false;20;1.32091762701394;49;37;true
1;2;false;21;2.71242415082961;27;42;true
1;2;false;22;3.28970725390295;53;33;true
1;2;false;23;3.28970725390295;45;40;true
1;2;false;24;3.28970725390295;61;38;true
1;2;false;25;3.28970725390295;51;25;true
1;3;false;1;1.09496833670871;61;37;true
1;3;false;2;2.5631031310892;63;44;true
1;3;false;3;3.28970725390295;47;17;false
1;3;false;4;2.92640519249607;61;26;true
1;3;false;5;2.92640519249607;62;39;true
1;3;false;6;3.28970725390295;45;36;true
1;3;false;7;3.28970725390295;45;36;true
1;3;false;8;3.28970725390295;27;13;false
1;3;false;9;2.48647486052439;55;31;true
1;3;false;10;3.28970725390295;48;13;false
1;3;false;11;3.28970725390295;55;36;true
1;3;false;12;2.48647486052439;53;38;true
1;3;false;13;1.2815515655446;54;36;true
1;3;false;14;2.5631031310892;49;23;false
1;3;false;15;2.92640519249607;59;38;true
1;3;false;16;0.271053409572241;28;13;false
1;3;false;17;3.28970725390295;55;33;true
1;3;false;18;2.92640519249607;59;45;true
1;3;false;19;2.92640519249607;47;27;true
1;3;false;20;0.439930331971686;49;37;true
1;3;false;21;3.28970725390295;27;42;true
1;3;false;22;3.28970725390295;53;33;true
1;3;false;23;3.28970725390295;45;40;true
1;3;false;24;3.28970725390295;61;38;true
1;3;false;25;2.92640519249607;51;25;true
1;4;false;1;0.841621233572914;61;37;true
1;4;false;2;2.16925413965951;63;44;true
1;4;false;3;3.28970725390295;47;17;false
1;4;false;4;3.28970725390295;61;26;true
1;4;false;5;1.5348986686804;62;39;true
1;4;false;6;3.28970725390295;45;36;true
1;4;false;7;3.28970725390295;45;36;true
1;4;false;8;3.28970725390295;27;13;false
1;4;false;9;2.92640519249607;55;31;true
1;4;false;10;3.28970725390295;48;13;false
1;4;false;11;3.28970725390295;55;36;true
1;4;false;12;2.92640519249607;53;38;true
1;4;false;13;2.92640519249607;54;36;true
1;4;false;14;2.92640519249607;49;23;false
1;4;false;15;1.36602174628096;59;38;true
1;4;false;16;0.317220720864874;28;13;false
1;4;false;17;3.28970725390295;55;33;true
1;4;false;18;3.28970725390295;59;45;true
1;4;false;19;3.28970725390295;47;27;true
1;4;false;20;0.841621233572914;49;37;true
1;4;false;21;2.92640519249607;27;42;true
1;4;false;22;3.28970725390295;53;33;true
1;4;false;23;3.28970725390295;45;40;true
1;4;false;24;3.28970725390295;61;38;true
1;4;false;25;2.5631031310892;51;25;true
1;5;false;1;1.04880102541608;61;37;true
1;5;false;2;2.92640519249607;63;44;true
1;5;false;3;3.28970725390295;47;17;false
1;5;false;4;2.48647486052439;61;26;true
1;5;false;5;0.588274130437115;62;39;true
1;5;false;6;2.16925413965951;45;36;true
1;5;false;7;3.28970725390295;45;36;true
1;5;false;8;2.92640519249607;27;13;false
1;5;false;9;2.48647486052439;55;31;true
1;5;false;10;2.92640519249607;48;13;false
1;5;false;11;3.28970725390295;55;36;true
1;5;false;12;1.80595207825264;53;38;true
1;5;false;13;1.47398745198315;54;36;true
1;5;false;14;1.42126186442646;49;23;false
1;5;false;15;1.89820073008727;59;38;true
1;5;false;16;0.430727299295457;28;13;false
1;5;false;17;3.28970725390295;55;33;true
1;5;false;18;2.86549397579882;59;45;true
1;5;false;19;1.21412632765602;47;27;true
1;5;false;20;0.684074402431257;49;37;true
1;5;false;21;2.86549397579882;27;42;true
1;5;false;22;2.61227519305317;53;33;true
1;5;false;23;3.28970725390295;45;40;true
1;5;false;24;2.86549397579882;61;38;true
1;5;false;25;0;51;25;true
1;6;true;1;1.68324246714583;61;37;true
1;6;true;2;2.92640519249607;63;44;true
1;6;true;3;3.28970725390295;47;17;false
1;6;true;4;3.28970725390295;61;26;true
1;6;true;5;2.92640519249607;62;39;true
1;6;true;6;3.28970725390295;45;36;true
1;6;true;7;3.28970725390295;45;36;true
1;6;true;8;3.28970725390295;27;13;false
1;6;true;9;3.28970725390295;55;31;true
1;6;true;10;3.28970725390295;48;13;false
1;6;true;11;3.28970725390295;55;36;true
1;6;true;12;2.92640519249607;53;38;true
1;6;true;13;3.28970725390295;54;36;true
1;6;true;14;2.5631031310892;49;23;false
1;6;true;15;1.80595207825264;59;38;true
1;6;true;16;1.2815515655446;28;13;false
1;6;true;17;3.28970725390295;55;33;true
1;6;true;18;3.28970725390295;59;45;true
1;6;true;19;3.28970725390295;47;27;true
1;6;true;20;3.28970725390295;49;37;true
1;6;true;21;2.48647486052439;27;42;true
1;6;true;22;3.28970725390295;53;33;true
1;6;true;23;3.28970725390295;45;40;true
1;6;true;24;3.28970725390295;61;38;true
1;6;true;25;2.92640519249607;51;25;true
2;1;true;1;0.385320466407568;61;37;true
2;1;true;2;0.638667569543367;63;44;true
2;1;true;3;3.91992796908011;47;17;false
2;1;true;4;1.80595207825264;61;26;true
2;1;true;5;0.608420237457683;62;39;true
2;1;true;6;3.24151555008465;45;36;true
2;1;true;7;2.68128701644526;45;36;true
2;1;true;8;1.28547423434397;27;13;false
2;1;true;9;3.28970725390295;55;31;true
2;1;true;10;2.63445373473614;48;13;false
2;1;true;11;3.60481761149153;55;36;true
2;1;true;12;2.31798495503839;53;38;true
2;1;true;13;1.36602174628096;54;36;true
2;1;true;14;2.92640519249607;49;23;false
2;1;true;15;1.64485362695147;59;38;true
2;1;true;16;0.361943639297708;28;13;false
2;1;true;17;2.92640519249607;55;33;true
2;1;true;18;2.99639737403384;59;45;true
2;1;true;19;3.24151555008465;47;27;true
2;1;true;20;1.09496833670871;49;37;true
2;1;true;21;3.24151555008465;27;42;true
2;1;true;22;3.24151555008465;53;33;true
2;1;true;23;1.40721291239967;45;40;true
2;1;true;24;2.99639737403384;61;38;true
2;1;true;25;1.56083390220183;51;25;true
2;2;false;1;-0.271053409572241;61;37;true
2;2;false;2;0.2533471031358;63;44;true
2;2;false;3;2.99639737403384;47;17;false
2;2;false;4;0.289169283788514;61;26;true
2;2;false;5;0.317220720864873;62;39;true
2;2;false;6;1.22694169998048;45;36;true
2;2;false;7;1.66687203195217;45;36;true
2;2;false;8;1.11834275096714;27;13;false
2;2;false;9;3.24151555008465;55;31;true
2;2;false;10;0.803232393378559;48;13;false
2;2;false;11;3.91992796908011;55;36;true
2;2;false;12;1.19889026290412;53;38;true
2;2;false;13;0.379389207378819;54;36;true
2;2;false;14;1.43107703142269;49;23;false
2;2;false;15;1.69038781821687;59;38;true
2;2;false;16;-0.0850339523463035;28;13;false
2;2;false;17;1.95996398454005;55;33;true
2;2;false;18;1.3186495365563;59;45;true
2;2;false;19;0.928899491647271;47;27;true
2;2;false;20;-0.556388646150532;49;37;true
2;2;false;21;0.701910934691052;27;42;true
2;2;false;22;0.659041445665236;53;33;true
2;2;false;23;2.02224557078003;45;40;true
2;2;false;24;2.54941978238983;61;38;true
2;2;false;25;1.05188169402464;51;25;true
2;3;false;1;0;61;37;true
2;3;false;2;-0.548828403341008;63;44;true
2;3;false;3;2.31798495503839;47;17;false
2;3;false;4;0.127685756280726;61;26;true
2;3;false;5;1.40721291239967;62;39;true
2;3;false;6;1.95604131574068;45;36;true
2;3;false;7;2.4843644972481;45;36;true
2;3;false;8;1.83430263768498;27;13;false
2;3;false;9;2.99639737403384;55;31;true
2;3;false;10;2.48647486052439;48;13;false
2;3;false;11;3.60481761149153;55;36;true
2;3;false;12;0.421142647060282;53;38;true
2;3;false;13;1.5348986686804;54;36;true
2;3;false;14;1.5348986686804;49;23;false
2;3;false;15;1.77051497380655;59;38;true
2;3;false;16;0.421142647060282;28;13;false
2;3;false;17;2.03017409335904;55;33;true
2;3;false;18;1.516110983769;59;45;true
2;3;false;19;0.2533471031358;47;27;true
2;3;false;20;0.650061859563115;49;37;true
2;3;false;21;1.36602174628095;27;42;true
2;3;false;22;1.5348986686804;53;33;true
2;3;false;23;2.5631031310892;45;40;true
2;3;false;24;2.31934337714755;61;38;true
2;3;false;25;1.09496833670871;51;25;true
2;4;false;1;-0.524400512708041;61;37;true
2;4;false;2;0.909720979115609;63;44;true
2;4;false;3;1.42175385590136;47;17;false
2;4;false;4;1.05981021660365;61;26;true
2;4;false;5;0.923530595046265;62;39;true
2;4;false;6;1.68324246714583;45;36;true
2;4;false;7;2.08562533139513;45;36;true
2;4;false;8;0.607061815348519;27;13;false
2;4;false;9;3.24151555008465;55;31;true
2;4;false;10;1.56083390220183;48;13;false
2;4;false;11;3.60481761149153;55;36;true
2;4;false;12;0.379008449990874;53;38;true
2;4;false;13;1.22694169998048;54;36;true
2;4;false;14;1.34897950039216;49;23;false
2;4;false;15;0.770640932815135;59;38;true
2;4;false;16;-0.910772042638715;28;13;false
2;4;false;17;1.43556347183201;55;33;true
2;4;false;18;2.12317279911752;59;45;true
2;4;false;19;0.607061815348519;47;27;true
2;4;false;20;0;49;37;true
2;4;false;21;1.5348986686804;27;42;true
2;4;false;22;2.21331108767585;53;33;true
2;4;false;23;2.5631031310892;45;40;true
2;4;false;24;1.83430263768498;61;38;true
2;4;false;25;1.0282044624088;51;25;true
2;5;false;1;0;61;37;true
2;5;false;2;0.5066942062716;63;44;true
2;5;false;3;2.21331108767585;47;17;false
2;5;false;4;0.139080046300473;61;26;true
2;5;false;5;1.28547423434397;62;39;true
2;5;false;6;1.19889026290412;45;36;true
2;5;false;7;1.39150652381567;45;36;true
