Order;Blocks;Band;Edge;Mid;Subject;Musicians;MSI_Perception;MSI_Training;dPrime;Hitrate;FA;Hit_Edge;Hit_NonEdge
1;1;1;1;0;1;false;31;55;3.2897;0.9;0.1;1;NaN
1;1;1;1;0;2;false;13;52;0.8416;0.5;0.2;0.5;NaN
1;1;1;1;0;3;false;7;51;3.2897;0.9;0.1;1;NaN
1;1;1;1;0;4;false;25;41;2.1693;0.7;0.1;0.7;NaN
1;1;1;1;0;5;false;30;58;3.2897;0.9;0.1;1;NaN
1;1;1;1;0;6;false;10;39;3.2897;0.9;0.1;1;NaN
1;1;1;1;0;7;false;32;57;3.2897;0.9;0.1;1;NaN
1;1;1;1;0;8;false;34;47;2.9264;0.9;0.1;0.9;NaN
1;1;1;1;0;9;false;32;54;2.9264;0.9;0.1;0.9;NaN
1;1;1;1;0;10;false;16;48;1.6449;0.5;0.1;0.5;NaN
1;1;1;1;0;11;false;37;59;3.2897;0.9;0.1;1;NaN
1;1;1;1;0;12;false;37;62;3.2897;0.9;0.1;1;NaN
1;1;1;1;0;13;false;42;61;3.2897;0.9;0.1;1;NaN
1;1;1;1;0;14;false;44;55;3.2897;0.9;0.1;1;NaN
1;1;1;1;0;15;false;31;61;3.2897;0.9;0.1;1;NaN
1;1;1;1;0;16;false;13;46;3.2897;0.9;0.1;1;NaN
1;1;1;1;0;17;false;22;45;1.6832;0.8;0.2;0.8;NaN
1;1;1;1;0;18;false;13;39;3.2897;0.9;0.1;1;NaN
1;1;1;1;0;19;false;27;47;3.2897;0.9;0.1;1;NaN
1;1;1;1;0;20;false;8;54;3.2897;0.9;0.1;1;NaN
1;1;1;1;0;21;false;11;40;1.8982;0.6;0.1;0.6;NaN
1;1;1;1;0;22;false;8;34;2.1232;0.9;0.2;1;NaN
1;1;1;1;0;23;false;9;35;2.4865;0.9;0.1;1;NaN
1;1;1;1;0;24;false;32;53;3.2897;0.9;0.1;1;NaN
1;1;1;1;0;25;false;24;47;3.2897;0.9;0.1;0.9;NaN
1;1;1;1;0;26;false;11;45;2.9264;0.9;0.1;1;NaN
1;1;1;1;0;27;false;12;43;2.9264;0.9;0.1;1;NaN
1;1;1;1;0;28;false;27;41;2.9264;0.7;0.1;0.7;NaN
1;1;1;1;0;29;false;7;33;2.1693;0.9;0.1;1;NaN
1;1;1;1;0;30;false;8;37;3.2897;0.9;0.1;1;NaN
1;1;2;0;0;1;false;31;55;1.806;0.9;0.1;0.9;NaN
1;1;2;0;0;2;false;13;52;1.095;0.9;0.4;1;NaN
1;1;2;0;0;3;false;7;51;2.4865;0.9;0.1;1;NaN
